Section ID	7/20/26 9:24 AM PDT	7/22/26 2:32 AM PDT	7/24/2026, 11:43:00 PM	7/27/2026, 3:25:20 AM	7/28/2026, 8:44:00 PM	7/29/2026, 8:09:00 PM	7/30/2026, 7:06:00 PM	7/31/2026, 6:18:00 PM	8/3/2026, 7:12:00 PM	8/4/2026, 7:14:00 PM	8/5/2026, 10:57:00 PM	8/6/2026, 11:45:00 PM	8/7/2026, 10:57:00 PM	8/9/2026, 8:44:00 PM	8/10/2026, 8:57:00 PM	8/11/2026, 9:25:00 PM	8/12/2026, 6:44:00 PM	8/13/2026, 7:18:00 PM	8/14/2026, 6:41:00 PM	8/16/2026, 10:50:00 PM	8/17/2026, 9:27:00 PM	8/18/2026, 8:53:00 PM	8/18/2026, 11:55:00 PM	8/19/2026, 8:17:00 PM	8/20/2026, 8:33:00 PM	8/21/2026, 6:29:00 PM	8/22/2026, 10:55:00 PM	8/26/2026, 12:12:00 AM	8/27/2026, 10:33:00 PM	8/28/2026, 10:18:00 PM	8/31/2026, 7:15:00 PM	9/1/2026, 9:35:00 PM
E 00000026	13/13	13/13	13/13/0	13/13	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	12/13/0	11/13/0	11/13/0	11/13/0	10/13/0	10/13/0	10/13/0	10/13/0	10/13/0	10/13/0	10/13/0	9/13/0	8/13/0	9/13/0	9/13/0	9/13/0	7/13/0	0/13/0
E 00000027	13/13	13/13	13/13/0	13/13	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	8/13/0	8/13/0	7/13/0	7/13/0	7/13/0	7/13/0	7/13/0	7/13/0	7/13/0	7/13/0	6/13/0	5/13/0	5/13/0	5/13/0	5/13/0	0/13/0	0/13/0
E 00000029	150/150	149/150	149/150/0	149/150	149/150/0	149/150/0	149/150/0	149/150/0	148/150/0	148/150/0	148/150/0	148/150/0	148/150/0	148/150/0	146/150/0	143/150/0	143/150/0	144/150/0	143/150/0	143/150/0	139/150/0	133/150/0	133/150/0	133/150/0	124/150/0	100/150/0	99/150/0	93/150/0	88/150/0	88/150/0	83/150/0	60/150/0
E 00000030	40/40	40/40	40/40/0	40/40	40/40/0	39/40/0	39/40/0	36/40/0	35/40/0	35/40/0	35/40/0	35/40/0	35/40/0	35/40/0	33/40/0	20/40/0	19/40/0	19/40/0	21/40/0	21/40/0	21/40/0	19/40/0	19/40/0	14/40/0	4/40/0	0/40/0	0/40/0	0/40/0	0/40/0	0/40/0	0/40/0	0/40/0
E 00000031	20/20	20/20	19/20	19/20	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	19/20/0	12/20/0
E 00000032	56/56	56/56	56/56/0	56/56	56/56/0	56/56/0	56/56/0	55/56/0	55/56/0	55/56/0	55/56/0	55/56/0	55/56/0	55/56/0	51/56/0	45/56/0	45/56/0	45/56/0	45/56/0	45/56/0	45/56/0	45/56/0	45/56/0	45/56/0	44/56/0	39/56/0	38/56/0	37/56/0	36/56/0	36/56/0	34/56/0	3/56/0
E 00000033	28/28	28/28	28/28/0	28/28	28/28/0	28/28/0	28/28/0	27/28/0	27/28/0	27/28/0	27/28/0	27/28/0	27/28/0	27/28/0	24/28/0	19/28/0	19/28/0	19/28/0	19/28/0	19/28/0	19/28/0	19/28/0	19/28/0	19/28/0	18/28/0	18/28/0	16/28/0	15/28/0	14/28/0	14/28/0	14/28/0	0/28/0
E 00000034	28/28	28/28	28/28/0	28/28	28/28/0	28/28/0	28/28/0	28/28/0	28/28/0	28/28/0	28/28/0	28/28/0	28/28/0	28/28/0	27/28/0	26/28/0	26/28/0	26/28/0	26/28/0	26/28/0	26/28/0	26/28/0	26/28/0	26/28/0	26/28/0	22/28/0	22/28/0	22/28/0	22/28/0	22/28/0	20/28/0	3/28/0
E 00000035	50/50	50/50	43/50/0	42/50	42/50/0	42/50/0	42/50/0	42/50/0	41/50/0	41/50/0	41/50/0	37/50/0	37/50/0	37/50/0	37/50/0	37/50/0	37/50/0	36/50/0	35/50/0	34/50/0	34/50/0	33/50/0	33/50/0	30/50/0	30/50/0	30/50/0	30/50/0	29/50/0	29/50/0	28/50/0	28/50/0	28/50/0
E 00000036	20/20	20/20	20/20	20/20	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	9/20/0	8/20/0	8/20/0	7/20/0	6/20/0
